Date,Open,Low,Low,Close,Volume
5/15/97,0.1219,0.125,0.0964,0.0979,1443120000
5/16/97,0.0984,0.099,0.0854,0.0865,294000000
5/19/97,0.088,0.0885,0.0812,0.0854,122136000
5/20/97,0.0865,0.0875,0.0818,0.0818,109344000
5/21/97,0.0818,0.0823,0.0688,0.0714,377064000
5/22/97,0.0719,0.0724,0.0656,0.0698,235536000
5/23/97,0.0703,0.076,0.0667,0.075,318744000
5/27/97,0.0755,0.0823,0.0729,0.0792,173952000
5/28/97,0.0812,0.0818,0.0766,0.0766,91488000
5/29/97,0.0771,0.0771,0.074,0.0753,69456000
5/30/97,0.075,0.0755,0.074,0.075,51888000
6/2/97,0.0755,0.0766,0.075,0.0755,11832000
6/3/97,0.0766,0.0766,0.074,0.074,23664000
6/4/97,0.074,0.0745,0.0698,0.0708,61608000
6/5/97,0.0708,0.0771,0.0688,0.0771,113448000
6/6/97,0.0758,0.0854,0.0755,0.0828,156144000
6/9/97,0.0828,0.0854,0.0828,0.0844,47040000
6/10/97,0.0854,0.0854,0.0766,0.0792,109176000
6/11/97,0.0797,0.0802,0.0766,0.0771,23760000
6/12/97,0.0792,0.0823,0.0776,0.0802,32640000
6/13/97,0.0812,0.0812,0.0792,0.0792,13872000
6/16/97,0.0802,0.0802,0.0781,0.0786,18264000
6/17/97,0.0799,0.0799,0.0747,0.0753,94128000
6/18/97,0.076,0.0768,0.075,0.0755,49296000
6/19/97,0.0755,0.0766,0.075,0.0755,20064000
6/20/97,0.0766,0.0776,0.075,0.0763,67752000
6/23/97,0.0771,0.0771,0.074,0.075,20952000
6/24/97,0.0753,0.0763,0.074,0.0755,15024000
6/25/97,0.0763,0.0763,0.0745,0.0755,42120000
6/26/97,0.076,0.076,0.0753,0.0755,63792000
6/27/97,0.0758,0.0758,0.074,0.0745,23760000
6/30/97,0.0755,0.0799,0.074,0.0771,54936000
7/1/97,0.0771,0.0771,0.0755,0.0758,25848000
7/2/97,0.0758,0.0797,0.0755,0.0794,77640000
7/3/97,0.0799,0.0958,0.0797,0.0956,251544000
7/7/97,0.0917,0.101,0.0917,0.1,161064000
7/8/97,0.1021,0.1167,0.1021,0.1151,310344000
7/9/97,0.1151,0.1193,0.1135,0.1161,165240000
7/10/97,0.1167,0.1286,0.1167,0.1281,181032000
7/11/97,0.126,0.126,0.1104,0.1146,210624000
7/14/97,0.1161,0.1167,0.1057,0.1068,92088000
7/15/97,0.1068,0.124,0.1068,0.1219,185496000
7/16/97,0.1224,0.1247,0.1151,0.1167,60480000
7/17/97,0.1172,0.1172,0.1078,0.1109,63384000
7/18/97,0.1094,0.1109,0.1078,0.1078,15600000
7/21/97,0.1089,0.1099,0.1073,0.1091,11496000
7/22/97,0.1083,0.1094,0.1031,0.1068,31272000
7/23/97,0.1094,0.1167,0.1089,0.1146,65184000
7/24/97,0.1151,0.1156,0.1109,0.113,24336000
7/25/97,0.1109,0.1125,0.1109,0.1115,12408000
7/28/97,0.1115,0.1198,0.1109,0.1161,51480000
7/29/97,0.1182,0.125,0.1167,0.124,96288000
7/30/97,0.125,0.1253,0.1214,0.1224,50352000
7/31/97,0.1219,0.1219,0.1167,0.1198,29088000
8/1/97,0.1172,0.1208,0.1125,0.1208,71760000
8/4/97,0.1187,0.1206,0.1151,0.1156,53424000
8/5/97,0.1167,0.1167,0.1073,0.1104,60648000
8/6/97,0.1104,0.1156,0.1094,0.1125,24864000
8/7/97,0.1125,0.113,0.1063,0.1089,40680000
8/8/97,0.1083,0.1151,0.1052,0.1146,44232000
8/11/97,0.1146,0.1167,0.1125,0.1164,24792000
8/12/97,0.1141,0.1151,0.1099,0.1099,11424000
8/13/97,0.1115,0.1115,0.1083,0.1099,11808000
8/14/97,0.1089,0.1125,0.106,0.1078,20832000
8/15/97,0.1068,0.1078,0.0969,0.1057,31944000
8/18/97,0.1026,0.1026,0.0984,0.1021,35688000
8/19/97,0.1047,0.1104,0.1026,0.1083,20064000
8/20/97,0.1094,0.1094,0.1036,0.1083,19992000
8/21/97,0.1068,0.1086,0.1036,0.1057,12480000
8/22/97,0.1052,0.1063,0.1047,0.1063,14256000
8/25/97,0.1052,0.113,0.1052,0.1109,22536000
8/26/97,0.112,0.1177,0.1115,0.1172,51480000
8/27/97,0.1154,0.1161,0.1125,0.1159,27840000
8/28/97,0.1151,0.1198,0.1141,0.1187,22944000
8/29/97,0.1182,0.1187,0.1161,0.1169,14448000
9/2/97,0.1172,0.1187,0.1167,0.1177,14640000
9/3/97,0.1172,0.1208,0.1156,0.1167,39288000
9/4/97,0.1182,0.1276,0.1172,0.1276,66960000
9/5/97,0.1292,0.1333,0.1229,0.125,38160000
9/8/97,0.1266,0.151,0.125,0.15,112968000
9/9/97,0.157,0.1693,0.1513,0.162,179424000
9/10/97,0.1656,0.1664,0.1563,0.1651,77328000
9/11/97,0.1667,0.1667,0.1521,0.1578,85248000
9/12/97,0.1594,0.1849,0.1578,0.1844,66672000
9/15/97,0.1833,0.1839,0.1526,0.1547,111672000
9/16/97,0.1563,0.1771,0.156,0.1677,128640000
9/17/97,0.1729,0.175,0.1667,0.1703,52152000
9/18/97,0.1719,0.1734,0.1641,0.1646,42576000
9/19/97,0.169,0.2042,0.1688,0.1974,178584000
9/22/97,0.2,0.2339,0.1974,0.225,338760000
9/23/97,0.2245,0.2323,0.2198,0.2313,153648000
9/24/97,0.2323,0.2406,0.2146,0.2188,164016000
9/25/97,0.2172,0.2177,0.2026,0.2039,99360000
9/26/97,0.2036,0.213,0.2026,0.2083,54624000
9/29/97,0.2073,0.2094,0.1979,0.2021,47424000
9/30/97,0.2,0.2174,0.1901,0.2169,105096000
10/1/97,0.2219,0.225,0.1969,0.201,99984000
10/2/97,0.2021,0.2089,0.1995,0.2005,37536000
10/3/97,0.2042,0.2062,0.199,0.2008,23280000
10/6/97,0.2,0.2062,0.1971,0.2062,40560000
10/7/97,0.2042,0.2094,0.2021,0.2029,34848000
10/8/97,0.2073,0.2083,0.1992,0.2003,56136000
10/9/97,0.2,0.201,0.187,0.1875,79008000
10/10/97,0.1865,0.2031,0.1833,0.1951,75744000
10/13/97,0.1964,0.2021,0.1964,0.2,16296000
10/14/97,0.2031,0.2052,0.1917,0.199,30936000
10/15/97,0.1984,0.1984,0.1885,0.1961,47112000
10/16/97,0.199,0.199,0.1802,0.1813,69624000
10/17/97,0.1807,0.1828,0.176,0.1813,50688000
10/20/97,0.1839,0.1937,0.1833,0.1911,98256000
10/21/97,0.1979,0.2219,0.1927,0.2214,241920000
10/22/97,0.2208,0.231,0.2188,0.226,104160000
10/23/97,0.2115,0.2281,0.2094,0.225,113136000
10/24/97,0.2375,0.2531,0.2271,0.2513,189840000
10/27/97,0.2401,0.2505,0.2115,0.2135,121824000
10/28/97,0.1958,0.25,0.1937,0.2474,234384000
10/29/97,0.2573,0.275,0.25,0.2695,142536000
10/30/97,0.2604,0.2677,0.2521,0.2562,95400000
10/31/97,0.2682,0.2729,0.2484,0.2542,100536000
11/3/97,0.2609,0.2609,0.2474,0.2536,39984000
11/4/97,0.25,0.2526,0.2411,0.2479,47304000
11/5/97,0.249,0.256,0.2438,0.2438,61872000
11/6/97,0.2458,0.2458,0.2318,0.2331,58272000
11/7/97,0.2208,0.232,0.2193,0.224,52536000
11/10/97,0.225,0.2281,0.2104,0.2104,55296000
11/11/97,0.2122,0.2156,0.1958,0.1974,86256000
11/12/97,0.1888,0.2094,0.1833,0.1885,173664000
11/13/97,0.1974,0.1984,0.1885,0.193,85800000
11/14/97,0.1969,0.2104,0.1891,0.2083,117384000
11/17/97,0.2115,0.2271,0.2109,0.2188,147888000
11/18/97,0.2188,0.224,0.2172,0.2208,37320000
11/19/97,0.2203,0.226,0.2156,0.2255,50688000
11/20/97,0.2286,0.2302,0.2255,0.2292,118464000
11/21/97,0.2276,0.2292,0.2245,0.2245,52056000
11/24/97,0.2188,0.2208,0.2115,0.2115,40392000
11/25/97,0.212,0.2167,0.2021,0.2102,66096000
11/26/97,0.212,0.2206,0.212,0.213,32616000
11/28/97,0.2135,0.2167,0.2057,0.2062,32064000
12/1/97,0.212,0.2188,0.2068,0.2135,47664000
12/2/97,0.213,0.2151,0.2089,0.2117,25248000
12/3/97,0.2099,0.2188,0.2094,0.2182,25800000
12/4/97,0.2201,0.2276,0.2193,0.225,60768000
12/5/97,0.2219,0.2297,0.2177,0.2297,53232000
12/8/97,0.2271,0.2385,0.226,0.2354,95328000
12/9/97,0.2333,0.2385,0.2302,0.2344,26640000
12/10/97,0.2292,0.2313,0.2198,0.2255,28896000
12/11/97,0.2198,0.2417,0.2198,0.2344,100296000
12/12/97,0.2323,0.2401,0.2203,0.2271,53448000
12/15/97,0.2292,0.2333,0.2203,0.2292,33888000
12/16/97,0.2323,0.2323,0.2229,0.2229,33744000
12/17/97,0.2188,0.2229,0.2128,0.2195,122808000
12/18/97,0.2177,0.2214,0.2115,0.2146,64080000
12/19/97,0.2115,0.226,0.2083,0.225,95064000
12/22/97,0.225,0.2391,0.2216,0.2349,87048000
12/23/97,0.2344,0.237,0.2313,0.2313,23544000
12/24/97,0.2313,0.2354,0.2234,0.2302,46728000
12/26/97,0.2281,0.2323,0.2245,0.226,9744000
12/29/97,0.2292,0.2391,0.2266,0.2375,51048000
12/30/97,0.2417,0.2453,0.2391,0.2424,125712000
12/31/97,0.2438,0.2521,0.2422,0.251,88920000
1/2/98,0.25,0.25,0.2398,0.2479,33216000
1/5/98,0.2443,0.2469,0.2354,0.2375,71808000
1/6/98,0.2349,0.2438,0.2333,0.2419,83496000
1/7/98,0.2417,0.2417,0.2346,0.2391,54504000
1/8/98,0.2349,0.2352,0.2266,0.2307,120312000
1/9/98,0.2333,0.2333,0.2115,0.213,132864000
1/12/98,0.2083,0.2193,0.2073,0.2151,148032000
1/13/98,0.2172,0.2333,0.2161,0.2323,146424000
1/14/98,0.2328,0.2438,0.2313,0.2438,170112000
1/15/98,0.2396,0.2505,0.2396,0.2477,120288000
1/16/98,0.2479,0.249,0.2385,0.2396,51264000
1/20/98,0.2411,0.2505,0.2406,0.2477,109344000
1/21/98,0.2469,0.2583,0.2438,0.2536,174768000
1/22/98,0.2536,0.2635,0.251,0.2568,189432000
1/23/98,0.2672,0.2672,0.2469,0.2469,182376000
1/26/98,0.249,0.2495,0.237,0.2406,94248000
1/27/98,0.2409,0.2432,0.2333,0.2375,82080000
1/28/98,0.2375,0.2417,0.2313,0.2385,105864000
1/29/98,0.2396,0.2495,0.2391,0.2479,96720000
1/30/98,0.25,0.2531,0.2443,0.2458,74448000
2/2/98,0.2474,0.2604,0.2469,0.2599,138264000
2/3/98,0.2594,0.2625,0.2547,0.2576,88584000
2/4/98,0.2531,0.2594,0.2526,0.2531,24696000
