Date,Open,High,Low,Close,Volume
06/01/12,20.3271,20.4518,20.0186,20.0354,520987600
06/04/12,20.0536,20.2679,19.5893,20.1532,556995600
06/05/12,20.0454,20.2311,19.9404,20.1011,388214400
06/06/12,20.2775,20.4946,20.1964,20.4093,401455600
06/07/12,20.6175,20.6186,20.375,20.4186,379766800
06/08/12,20.4143,20.735,20.3214,20.7257,347516400
06/11/12,20.99,21.0179,20.3796,20.3989,591264800
06/12/12,20.5164,20.5936,20.2393,20.5771,435380400
06/13/12,20.5186,20.66,20.3707,20.4343,293580000
06/14/12,20.4014,20.4821,20.2593,20.4118,345573200
06/15/12,20.3929,20.5221,20.3411,20.5046,335255200
06/18/12,20.3914,20.9961,20.3704,20.9207,440412000
06/19/12,20.8357,21.0714,20.825,20.9789,361404400
06/20/12,21.0075,21.0446,20.7429,20.9193,358943200
06/21/12,20.9086,21.0079,20.6229,20.6311,326351200
06/22/12,20.68,20.7925,20.5507,20.7893,284471600
06/25/12,20.6179,20.7071,20.3704,20.3846,304382400
06/26/12,20.4046,20.5175,20.2618,20.4296,276536400
06/27/12,20.5357,20.5979,20.4257,20.5179,202997200
06/28/12,20.4168,20.5,20.2004,20.3232,282836400
06/29/12,20.6429,20.8571,20.5089,20.8571,421500800
07/02/12,20.8832,21.1954,20.8429,21.1614,400092000
07/03/12,21.2457,21.4286,21.2143,21.4075,241712800
07/05/12,21.4486,21.9407,21.4161,21.7836,484383200
07/06/12,21.6818,21.73,21.485,21.6386,418930400
07/09/12,21.6179,21.925,21.5754,21.9246,379405600
07/10/12,22.0704,22.1382,21.6182,21.7218,511957600
07/11/12,21.6471,21.7021,21.3293,21.5868,469322000
07/12/12,21.4371,21.5525,21.1671,21.3893,428041600
07/13/12,21.5339,21.6854,21.4286,21.6061,311427200
07/16/12,21.6114,21.8436,21.6079,21.6754,301260400
07/17/12,21.8139,21.8393,21.5411,21.6764,293624800
07/18/12,21.6639,21.7264,21.5557,21.6521,252700000
07/19/12,21.8314,21.9768,21.6429,21.94,436861600
07/20/12,21.8939,21.9443,21.5607,21.5821,397471200
07/23/12,21.2286,21.6393,20.9896,21.5654,487975600
07/24/12,21.6921,21.7743,21.3754,21.4614,565132400
07/25/12,20.5164,20.7429,20.3571,20.5346,877312800
07/26/12,20.7057,20.7286,20.37,20.5314,406632800
07/27/12,20.5361,20.9225,20.4139,20.8986,403936400
07/30/12,21.1043,21.4086,20.9936,21.2511,379142400
07/31/12,21.5439,21.8464,21.5257,21.8129,462327600
08/01/12,21.9968,22.0143,21.5357,21.6718,384501600
08/02/12,21.53,21.8104,21.4375,21.7068,332158400
08/03/12,21.9154,22.0707,21.8414,21.9893,344920800
08/06/12,22.0461,22.3168,21.9736,22.2339,302103200
08/07/12,22.2418,22.3214,22.0729,22.1754,290446800
08/08/12,22.1211,22.2814,22.0393,22.1379,244706000
08/09/12,22.0661,22.2046,22.0643,22.1689,221642400
08/10/12,22.0968,22.2057,22.0964,22.2036,194938800
08/13/12,22.2639,22.5,22.2589,22.5,278832400
08/14/12,22.5668,22.8075,22.5075,22.5604,340169200
08/15/12,22.5464,22.6429,22.4196,22.5296,257342400
08/16/12,22.5432,22.7414,22.5179,22.7264,254534000
08/17/12,22.8571,23.1496,22.8146,23.1468,442761200
08/20/12,23.2146,23.7554,23.2107,23.7554,613384800
08/21/12,23.9579,24.1029,23.2261,23.4307,812719600
08/22/12,23.3721,23.8929,23.1468,23.8882,565322800
08/23/12,23.7896,23.925,23.6125,23.6654,420128800
08/24/12,23.5539,23.91,23.4125,23.6864,437340400
08/27/12,24.2854,24.3168,24.055,24.1314,427008400
08/28/12,24.1064,24.1464,23.9525,24.1,267416800
08/29/12,24.1161,24.2025,24.0214,24.0525,202806800
08/30/12,23.9514,23.9839,23.6732,23.7096,302699600
08/31/12,23.8304,23.8786,23.4732,23.7586,338321200
09/04/12,23.7771,24.1121,23.7321,24.1061,367892000
09/05/12,24.1275,24.1554,23.9143,23.9368,336375200
09/06/12,24.0418,24.2246,23.9571,24.1525,391196400
09/07/12,24.2161,24.3743,24.1346,24.3014,329666400
09/10/12,24.3018,24.4032,23.6464,23.6693,487998000
09/11/12,23.7539,23.9321,23.4464,23.5925,503983200
09/12/12,23.8161,23.925,23.4286,23.9211,712233200
09/13/12,24.1918,24.4821,24.0989,24.3921,598360000
09/14/12,24.6414,24.8921,24.5675,24.6886,600474000
09/17/12,24.9768,24.9929,24.8075,24.9921,398031200
09/18/12,24.9957,25.0832,24.8721,25.0682,373503200
09/19/12,25.0093,25.1425,24.9846,25.075,326874800
09/20/12,24.97,25.0021,24.7721,24.9536,336568400
09/21/12,25.0861,25.1811,24.9771,25.0032,571589200
09/24/12,24.5307,24.8257,24.3929,24.6711,639766400
09/25/12,24.5807,24.7421,24.0357,24.055,518789600
09/26/12,23.8836,24.0246,23.6143,23.7564,576503200
09/27/12,23.7246,24.3632,23.5839,24.3329,594090000
09/28/12,24.2411,24.3254,23.8125,23.825,535110800
10/01/12,23.97,24.1696,23.4464,23.5496,543594800
10/02/12,23.6361,23.7982,23.2375,23.6182,627992400
10/03/12,23.745,23.995,23.6654,23.9804,424281200
10/04/12,23.9732,24.0804,23.7696,23.8143,370725600
10/05/12,23.7571,23.7857,23.26,23.3068,594006000
10/08/12,23.1029,23.1271,22.7182,22.7918,637994000
10/09/12,22.8089,22.8746,22.2696,22.7089,838597200
10/10/12,22.8479,23.035,22.75,22.8896,510356000
10/11/12,23.0893,23.1143,22.4321,22.4321,546081200
10/12/12,22.4843,22.6921,22.3321,22.4896,460014800
10/15/12,22.5839,22.6832,22.2804,22.67,432502000
10/16/12,22.6918,23.225,22.5357,23.2068,549771600
10/17/12,23.1739,23.3139,23,23.0218,389037600
10/18/12,22.8425,22.9307,22.5,22.5943,476624400
10/19/12,22.5375,22.5632,21.7721,21.78,744086000
10/22/12,21.8721,22.6921,21.8129,22.6439,546730800
10/23/12,22.5357,22.6393,21.8464,21.9057,707145600
10/24/12,22.1943,22.3768,21.8086,22.0296,558527200
10/25/12,22.1429,22.2143,21.6268,21.7693,656325600
10/26/12,21.7654,21.9286,21.1071,21.5714,1018432800
10/31/12,21.2457,21.4986,20.9893,21.2614,510003200
11/01/12,21.365,21.5357,21.2204,21.305,361298000
11/02/12,21.2818,21.3196,20.5268,20.6,599373600
11/05/12,20.84,20.9918,20.6286,20.8793,529135600
11/06/12,21.0796,21.0979,20.7175,20.8161,374917200
11/07/12,20.4943,20.5193,19.8482,19.9286,793648800
11/08/12,20.0225,20.0796,19.1175,19.2054,1056146000
11/09/12,19.3007,19.8171,19.0614,19.5379,929913600
11/12/12,19.7911,19.8036,19.2375,19.3868,515802000
11/13/12,19.2468,19.66,19.1557,19.3893,532949200
11/14/12,19.4821,19.5518,19.1493,19.1743,477170400
11/15/12,19.1975,19.2679,18.665,18.7721,789910800
11/16/12,18.7571,18.9286,18.0625,18.8457,1266893600
11/19/12,19.3111,20.2679,19.2814,20.2046,823317600
11/20/12,20.4254,20.4268,19.8064,20.0325,642754000
11/21/12,20.1518,20.2632,19.8786,20.0607,373002000
11/23/12,20.2561,20.4286,20.0929,20.4107,272826400
11/26/12,20.5679,21.0714,20.4896,21.0546,630579600
11/27/12,21.0554,21.0864,20.7179,20.885,533330000
11/28/12,20.6168,20.9214,20.4379,20.8193,520864400
11/29/12,21.0793,21.2232,20.9018,21.0486,514698800
11/30/12,20.9568,21.0143,20.81,20.9029,391319600
12/03/12,21.2018,21.2354,20.9107,20.9354,364280000
12/04/12,20.7786,20.7786,20.4332,20.5661,557068400
12/05/12,20.3182,20.3304,19.2418,19.2425,1044638000
12/06/12,18.8907,19.7611,18.5225,19.5443,1177212400
12/07/12,19.7643,19.8286,18.9286,19.0446,787040800
12/10/12,18.75,19.2325,18.6279,18.9221,630484400
12/11/12,19.2775,19.6271,19.1918,19.3354,592345600
