Date,Open,High,Low,Close,Volume
06/01/12,8.707143,9.104286,8.671429,8.992857,35578200
06/04/12,9.035714,9.32,8.91,9.285714,35291200
06/05/12,9.287143,9.475714,9.178571,9.261429,24048500
06/06/12,9.38,9.767143,9.307143,9.411429,30676800
06/07/12,9.514286,9.557143,9.201429,9.234286,21045500
06/08/12,9.195714,9.445714,9.104286,9.377143,22017100
06/11/12,9.484286,9.512857,8.997143,9,22941100
06/12/12,9.037143,9.194286,8.907143,9.002857,20797700
06/13/12,8.942857,9.205714,8.875714,8.975714,17924900
06/14/12,8.97,9.021429,8.717143,8.951429,26137300
06/15/12,9.038571,9.418571,8.961429,9.398571,33022500
06/18/12,9.294286,9.564286,9.255714,9.532857,22997800
06/19/12,9.557143,10.068571,9.507143,9.975714,27706700
06/20/12,9.925714,9.935714,9.658571,9.737143,26638500
06/21/12,9.751429,9.777143,9.392857,9.405714,17690400
06/22/12,9.462857,9.752857,9.385714,9.694286,18074700
06/25/12,9.687143,9.932857,9.485714,9.575714,30746100
06/26/12,9.601429,9.672857,9.477143,9.542857,15611400
06/27/12,9.575714,9.607143,9.371429,9.498571,15383200
06/28/12,9.442857,9.722857,9.397143,9.622857,15090600
06/29/12,9.757143,9.822857,9.547143,9.784286,19991300
07/02/12,9.824286,9.842857,9.607143,9.692857,12992700
07/03/12,9.784286,10.397143,9.672857,10.291429,25261600
07/05/12,10.618571,11.842857,10.608571,11.674286,104498100
07/06/12,11.962857,12.2,11.46,11.698571,85261400
07/09/12,11.854286,12.027143,11.45,11.855714,43262800
07/10/12,11.96,11.971429,11.361429,11.461429,35242200
07/11/12,11.442857,12.124286,11.411429,11.662857,43044400
07/12/12,11.645714,12.214286,11.5,12.138571,41447700
07/13/12,12.254286,12.378571,11.988571,12.128571,39032000
07/16/12,12.158571,12.221429,11.804286,11.854286,20946800
07/17/12,11.892857,11.927143,11.524286,11.682857,27820800
07/18/12,11.607143,11.844286,11.534286,11.61,21576100
07/19/12,11.708571,12.118571,11.645714,11.874286,29133300
07/20/12,11.808571,11.931429,11.642857,11.688571,24369800
07/23/12,11.532857,11.602857,11.214286,11.42,30965200
07/24/12,11.581429,11.781429,11.115714,11.484286,64700300
07/25/12,9.172857,9.542857,8.457143,8.611429,173470500
07/26/12,8.472857,8.494286,8.02,8.144286,79756600
07/27/12,8.194286,8.467143,8.142857,8.417143,38009300
07/30/12,8.418571,8.565714,8.047143,8.25,29932700
07/31/12,8.207143,8.331429,8.087143,8.121429,17320800
08/01/12,8.204286,8.254286,7.728571,7.785714,33832400
