Date,Open,High,Low,Close,Volume
12/12/80,0.1283,0.1289,0.1283,0.1283,469033600
12/15/80,0.1222,0.1222,0.1217,0.1217,175884800
12/16/80,0.1133,0.1133,0.1127,0.1127,105728000
12/17/80,0.1155,0.1161,0.1155,0.1155,86441600
12/18/80,0.1189,0.1194,0.1189,0.1189,73449600
12/19/80,0.1261,0.1267,0.1261,0.1261,48630400
12/22/80,0.1323,0.1328,0.1323,0.1323,37363200
12/23/80,0.1378,0.1384,0.1378,0.1378,46950400
12/24/80,0.1451,0.1456,0.1451,0.1451,48003200
12/26/80,0.1585,0.159,0.1585,0.1585,55574400
12/29/80,0.1607,0.1613,0.1607,0.1607,93161600
12/30/80,0.1574,0.1574,0.1568,0.1568,68880000
12/31/80,0.1529,0.1529,0.1523,0.1523,35750400
1/2/81,0.154,0.1551,0.154,0.154,21660800
1/5/81,0.1512,0.1512,0.1507,0.1507,35728000
1/6/81,0.1445,0.1445,0.144,0.144,45158400
1/7/81,0.1384,0.1384,0.1378,0.1378,55686400
1/8/81,0.1356,0.1356,0.135,0.135,39827200
1/9/81,0.1423,0.1429,0.1423,0.1423,21504000
1/12/81,0.1423,0.1423,0.1412,0.1412,23699200
1/13/81,0.1367,0.1367,0.1362,0.1362,23049600
1/14/81,0.1367,0.1373,0.1367,0.1367,14291200
1/15/81,0.1395,0.1406,0.1395,0.1395,14067200
1/16/81,0.139,0.139,0.1384,0.1384,13395200
1/19/81,0.1468,0.1473,0.1468,0.1468,41574400
1/20/81,0.1429,0.1429,0.1423,0.1423,30083200
1/21/81,0.1451,0.1462,0.1451,0.1451,15904000
1/22/81,0.1468,0.1479,0.1468,0.1468,35548800
1/23/81,0.1468,0.1473,0.1462,0.1462,11222400
1/26/81,0.1445,0.1445,0.144,0.144,24640000
1/27/81,0.144,0.144,0.1429,0.1429,23699200
1/28/81,0.139,0.139,0.1384,0.1384,28156800
1/29/81,0.1339,0.1339,0.1334,0.1334,43904000
1/30/81,0.1272,0.1272,0.1261,0.1261,46188800
2/2/81,0.1194,0.1194,0.1189,0.1189,23766400
2/3/81,0.1233,0.1239,0.1233,0.1233,19152000
2/4/81,0.1278,0.1283,0.1278,0.1278,27865600
2/5/81,0.1278,0.1289,0.1278,0.1278,7929600
2/6/81,0.1283,0.1289,0.1283,0.1283,13865600
2/9/81,0.1228,0.1228,0.1217,0.1217,16755200
2/10/81,0.1217,0.1222,0.1217,0.1217,18345600
2/11/81,0.1183,0.1183,0.1177,0.1177,13843200
2/12/81,0.1172,0.1172,0.1166,0.1166,14560000
2/13/81,0.115,0.115,0.1138,0.1138,11155200
2/17/81,0.1166,0.1172,0.1166,0.1166,12275200
2/18/81,0.1217,0.1228,0.1217,0.1217,19241600
2/19/81,0.115,0.115,0.1144,0.1144,22310400
2/20/81,0.1088,0.1088,0.1083,0.1083,24371200
2/23/81,0.1099,0.1105,0.1099,0.1099,14112000
2/24/81,0.1071,0.1071,0.106,0.106,16979200
2/25/81,0.1127,0.1133,0.1127,0.1127,19488000
2/26/81,0.1144,0.115,0.1144,0.1144,10841600
2/27/81,0.1183,0.1194,0.1183,0.1183,14761600
3/2/81,0.1189,0.1194,0.1189,0.1189,11760000
3/3/81,0.1177,0.1177,0.1172,0.1172,16172800
3/4/81,0.1166,0.1166,0.1161,0.1161,13708800
3/5/81,0.1161,0.1161,0.1155,0.1155,5376000
3/6/81,0.1155,0.1155,0.1144,0.1144,11603200
3/9/81,0.106,0.106,0.1055,0.1055,15321600
3/10/81,0.101,0.101,0.1004,0.1004,28380800
3/11/81,0.0977,0.0977,0.0965,0.0965,29859200
3/12/81,0.1004,0.101,0.1004,0.1004,59248000
3/13/81,0.0999,0.0999,0.0993,0.0993,231302400
3/16/81,0.1032,0.1044,0.1032,0.1032,37228800
3/17/81,0.1083,0.1094,0.1083,0.1083,43747200
3/18/81,0.115,0.1161,0.115,0.115,36937600
3/19/81,0.1144,0.1144,0.1138,0.1138,37811200
3/20/81,0.115,0.1161,0.115,0.115,14604800
3/23/81,0.1194,0.1205,0.1194,0.1194,22019200
3/24/81,0.1194,0.1194,0.1189,0.1189,28156800
3/25/81,0.1177,0.1177,0.1166,0.1166,7056000
3/26/81,0.115,0.115,0.1144,0.1144,12275200
3/27/81,0.111,0.111,0.1105,0.1105,12252800
3/30/81,0.1105,0.1116,0.1105,0.1105,9900800
3/31/81,0.1105,0.1105,0.1094,0.1094,15993600
4/1/81,0.1088,0.1088,0.1083,0.1083,34070400
4/2/81,0.1177,0.1183,0.1177,0.1177,31404800
4/3/81,0.1183,0.1189,0.1183,0.1183,16486400
4/6/81,0.1166,0.1166,0.1161,0.1161,22803200
4/7/81,0.1155,0.1155,0.115,0.115,10684800
4/8/81,0.1205,0.1217,0.1205,0.1205,21952000
4/9/81,0.1228,0.1233,0.1228,0.1228,12499200
4/10/81,0.1244,0.125,0.1244,0.1244,33465600
4/13/81,0.1244,0.125,0.1244,0.1244,16060800
4/14/81,0.1244,0.125,0.1244,0.1244,6652800
4/15/81,0.1189,0.1189,0.1183,0.1183,34048000
