Date,Open,High,Low,Close,Volume
5/23/02,1.156429,1.242857,1.145714,1.196429,104790000
5/24/02,1.214286,1.225,1.197143,1.21,11104800
5/28/02,1.213571,1.232143,1.157143,1.157143,6609400
5/29/02,1.164286,1.164286,1.085714,1.103571,6757800
5/30/02,1.107857,1.107857,1.071429,1.071429,10154200
5/31/02,1.078571,1.078571,1.071429,1.076429,8464400
6/3/02,1.08,1.149286,1.076429,1.128571,3151400
6/4/02,1.135714,1.14,1.110714,1.117857,3105200
6/5/02,1.110714,1.159286,1.107143,1.147143,1531600
6/6/02,1.15,1.232143,1.148571,1.182143,2305800
6/7/02,1.177857,1.177857,1.103571,1.118571,1369200
6/10/02,1.135,1.175,1.134286,1.156429,484400
6/11/02,1.156429,1.188571,1.128571,1.153571,1003800
6/12/02,1.153571,1.182143,1.089286,1.092857,1799000
6/13/02,1.104286,1.122143,1.08,1.082857,2567600
6/14/02,1.082143,1.085714,0.98,0.986429,4783800
6/17/02,1.013571,1.059286,0.917857,0.922143,4855200
6/18/02,0.938571,0.939286,0.842143,0.910714,10808000
6/19/02,0.911429,0.996429,0.892857,0.951429,5482400
6/20/02,0.971429,1.04,0.95,0.957143,6111000
6/21/02,0.982143,0.989286,0.947857,0.979286,2346400
6/24/02,0.979286,1.014286,0.957143,0.978571,2567600
6/25/02,0.988571,1.007143,0.947143,0.964286,3941000
6/26/02,0.963571,0.996429,0.921429,0.988571,2924600
6/27/02,1.009286,1.018571,0.942857,0.943571,3817800
6/28/02,0.960714,1.013571,0.960714,0.999286,9234400
7/1/02,1,1.046429,0.992857,1.027857,4585000
7/2/02,1.053571,1.195,1.039286,1.172857,9020200
7/3/02,1.178571,1.214286,1.117857,1.214286,4957400
7/5/02,1.214286,1.299286,1.213571,1.276429,2003400
7/8/02,1.252143,1.252143,1.167857,1.175714,1953000
7/9/02,1.175,1.196429,1.114286,1.160714,2935800
7/10/02,1.161429,1.178571,1.132143,1.163571,1554000
7/11/02,1.154286,1.278571,1.132857,1.269286,2529800
7/12/02,1.278571,1.28,1.207143,1.207857,2837800
7/15/02,1.242857,1.248571,1.076429,1.142857,4239200
7/16/02,1.152857,1.157143,1.104286,1.126429,1941800
7/17/02,1.145,1.163571,1.075714,1.089286,1261400
7/18/02,1.117143,1.166429,1.110714,1.149286,2899400
7/19/02,1.152857,1.160714,1.122143,1.16,1792000
7/22/02,1.135714,1.179286,1.115,1.170714,1993600
7/23/02,1.176429,1.213571,1.130714,1.146429,1577800
7/24/02,1.146429,1.159286,1.074286,1.114286,3355800
7/25/02,1.125,1.127857,1.035,1.036429,4755800
7/26/02,1.05,1.058571,0.85,0.871429,7046200
7/29/02,0.896429,0.924286,0.85,0.876429,3260600
7/30/02,0.893571,0.942857,0.893571,0.914286,3777200
7/31/02,0.928571,0.96,0.905714,0.953571,3333400
8/1/02,0.95,0.96,0.877857,0.891429,4529000
8/2/02,0.886429,0.887857,0.706429,0.777857,6655600
8/5/02,0.778571,0.812857,0.760714,0.775,3808000
8/6/02,0.795714,0.803571,0.742857,0.760714,3217200
8/7/02,0.760714,0.793571,0.742857,0.793571,2758000
8/8/02,0.796429,0.803571,0.750714,0.796429,2283400
8/9/02,0.798571,0.821429,0.778571,0.787143,1500800
8/12/02,0.802857,0.807143,0.753571,0.757143,2130800
8/13/02,0.767857,0.805,0.754286,0.772857,1677200
8/14/02,0.775714,0.833571,0.771429,0.833571,4047400
8/15/02,0.837143,0.910714,0.832857,0.882857,3263400
8/16/02,0.892857,0.924286,0.857143,0.912857,1828400
8/19/02,0.925,0.984286,0.917857,0.982143,2074800
8/20/02,0.985,0.993571,0.921429,0.946429,2539600
8/21/02,0.952857,0.971429,0.918571,0.968571,2779000
8/22/02,0.973571,0.999286,0.929286,0.983571,2963800
8/23/02,0.993571,0.996429,0.967857,0.993571,2406600
8/26/02,0.996429,0.996429,0.937857,0.967857,2644600
8/27/02,0.967857,0.967857,0.857857,0.873571,4984000
8/28/02,0.861429,0.89,0.825,0.864286,2275000
8/29/02,0.832857,0.922143,0.824286,0.903571,2395400
8/30/02,0.914286,0.962857,0.894286,0.936429,2121000
9/3/02,0.936429,0.963571,0.913571,0.925,1593200
9/4/02,0.925714,0.945714,0.907857,0.928571,373800
9/5/02,0.917857,0.935714,0.910714,0.917857,285600
9/6/02,0.927857,0.935714,0.910714,0.914286,763000
9/9/02,0.919286,0.925,0.892857,0.901429,1419600
9/10/02,0.900714,0.95,0.889286,0.945,4746000
9/11/02,0.938571,0.976429,0.938571,0.961429,1629600
9/12/02,0.962857,0.967143,0.914286,0.925,1943200
9/13/02,0.921429,0.927143,0.864286,0.878571,2485000
9/16/02,0.892143,0.892143,0.852857,0.857143,3512600
9/17/02,0.863571,0.864286,0.825,0.83,2863000
9/18/02,0.836429,0.841429,0.785,0.787857,1521800
9/19/02,0.785,0.785714,0.717857,0.724286,4978400
9/20/02,0.753571,0.767857,0.7,0.707857,3484600
9/23/02,0.714286,0.732143,0.705714,0.711429,4839800
9/24/02,0.711429,0.725,0.689286,0.717857,3747800
9/25/02,0.724286,0.75,0.707857,0.732143,1457400
9/26/02,0.748571,0.782857,0.728571,0.782857,4162200
9/27/02,0.776429,0.784286,0.712143,0.72,5105800
9/30/02,0.707143,0.721429,0.689286,0.692857,4837000
10/1/02,0.709286,0.71,0.660714,0.678571,3850000
10/2/02,0.688571,0.688571,0.560714,0.578571,9314200
10/3/02,0.569286,0.57,0.489286,0.517857,9765000
10/4/02,0.517857,0.531429,0.447143,0.468571,8433600
10/7/02,0.45,0.458571,0.382143,0.412143,15724800
10/8/02,0.410714,0.427857,0.390714,0.405,4531800
10/9/02,0.41,0.410714,0.347143,0.372857,5982200
10/10/02,0.377857,0.525,0.346429,0.506429,13577200
10/11/02,0.508571,0.528571,0.446429,0.470714,13281800
